;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Sesto, 41;Cremona, Ugolani Dati, 4;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Roma, 59;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi (ex piazza Scuole);San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Europa, 2;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Cremona, Palosca n. 2;Ostiano;San Giovanni
Casalpusterlengo, Pusterla 7;36.456;25.866;30.284;54.429;39.929;28.241;37.924;33.601;38.51;92.05;0.075;21.035;32.793;70.649;27.201;26.541;27.253;31.376;31.376;26.197;26.635;52.433;46.609;19.756;81.916;68.795;29.78;27.012;72.13;29.392;17.382;31.763;67.816;25.893;33.771;31.779;39.248;61.433;74.572;523.268;12.146;77.489;104.732;34.242;22.589;77.335;39.518;31.343;22.522;65.074;64.452;39.671;23.062;63.969;38.985;28.813;180.721;32.368;35.736;31.964;33.307;42.075;57.498;31.614;39.381;39.381;67.681;65.664
Castelleone, Roma, 67;31.774;17.076;18.883;36.355;21.857;14.867;21.889;18.712;20.438;70.032;21.013;0.141;26.878;52.575;11.26;11.689;19.432;28.658;28.658;26.589;5.822;36.214;40.694;15.817;63.842;52.576;9.709;7.231;66.215;22.91;4.813;13.826;51.597;17.103;21.831;24.983;33.333;45.214;58.353;541.111;14.668;43.246;82.796;16.17;10.02;71.42;34.836;10.53;8.123;59.159;58.537;21.599;19.982;58.054;18.172;8.463;198.564;30.033;20.397;10.243;21.623;26.147;41.279;29.049;33.466;33.466;51.462;59.749
Castelverde, Ubaldo Ferrari, 15;57.5;14.231;44.609;14.139;43.42;40.593;50.186;8.359;43.547;47.816;32.864;26.54;0.26;30.359;36.986;37.415;7.163;7.187;7.187;52.315;30.745;13.998;15.599;16.947;41.626;30.36;34.632;32.957;43.999;48.636;30.539;35.119;29.381;14.258;47.557;50.709;11.117;22.998;36.137;526.21;24.173;29.436;60.58;41.896;35.746;49.204;60.562;30.49;21.267;36.943;36.061;44.708;9.033;35.838;29.604;18.777;204.412;55.759;46.123;27.669;47.349;54.444;19.063;7.578;11.25;11.25;29.246;37.533
Cingia de' Botti, Giuseppina, 79;83.346;42.65;70.455;18.644;73.429;66.439;73.461;37.736;72.01;18.252;69.95;52.386;30.871;0.0;62.832;63.213;33.009;23.281;23.281;78.161;56.591;23.293;23.339;42.793;13.573;15.859;60.478;58.803;14.435;74.482;56.385;65.263;25.381;42.677;73.403;78.669;26.446;18.998;12.221;490.442;48.526;53.269;31.016;67.742;61.592;19.64;86.408;61.299;47.113;7.379;6.757;73.171;34.879;6.274;58.981;48.209;217.085;81.605;71.969;53.515;73.195;77.719;19.634;25.366;19.917;19.917;25.246;7.969
Crema, Civerchi, 9;20.952;27.383;8.041;46.662;14.04;6.084;11.288;31.621;12.621;80.339;26.935;11.191;37.185;62.882;0.087;1.043;29.739;38.965;38.965;15.767;10.026;46.521;51.001;26.124;74.149;62.883;5.565;4.425;76.522;12.088;10.024;5.19;62.061;27.41;11.009;14.161;43.64;55.521;68.66;547.033;24.975;41.957;93.103;6.296;4.48;81.727;24.014;9.241;18.43;69.466;68.844;8.015;30.289;68.361;16.883;18.997;208.339;19.211;8.56;13.313;10.801;15.546;51.586;39.356;43.773;43.773;61.769;70.056
Crema, Dante Alighieri, 49;20.33;27.827;7.419;47.106;15.995;5.118;12.108;29.69;14.576;80.783;26.408;11.635;37.629;63.326;1.144;0.0;30.183;39.409;39.409;15.145;11.981;46.965;51.445;26.568;74.593;63.327;7.52;4.869;76.966;11.466;9.497;5.576;62.505;27.854;10.387;13.539;44.084;55.965;69.104;546.506;24.893;43.912;93.547;6.682;3.953;82.171;23.392;11.196;18.874;69.91;69.288;8.401;30.733;68.805;18.838;19.441;201.918;18.589;9.07;15.268;10.179;16.366;52.03;39.8;44.217;44.217;62.213;70.5
Cremona, Sesto, 41;50.336;9.64;37.445;16.922;40.419;33.429;40.451;12.321;39.0;50.599;29.154;19.376;7.445;33.142;29.822;30.251;0.0;9.225;9.225;45.151;24.255;16.781;21.261;9.783;44.409;33.143;27.468;25.793;46.782;41.472;23.375;32.253;32.164;9.667;40.393;45.659;13.9;25.781;38.92;522.297;18.931;43.379;63.363;34.732;28.582;51.987;53.398;28.289;14.103;39.726;39.104;40.161;4.44;38.621;28.728;15.199;200.499;48.595;38.959;20.505;40.185;44.709;21.846;9.616;14.033;14.033;32.029;40.316
Cremona, Ugolani Dati, 4;59.39;18.694;46.499;7.335;49.473;42.483;49.505;14.376;48.054;41.012;31.076;28.43;7.511;23.555;38.876;39.305;9.053;0.055;0.055;54.205;32.635;8.626;13.829;18.837;34.822;24.988;36.522;34.847;37.195;50.526;32.429;41.307;24.009;18.721;49.447;54.713;6.468;17.626;30.765;520.838;22.385;35.224;53.776;43.786;37.636;42.4;62.452;37.343;23.157;30.139;29.517;49.215;10.923;29.034;35.621;24.253;199.04;57.649;48.013;29.559;49.239;53.763;13.691;2.03;4.446;4.446;23.874;30.729
Cremona, Ugolani Dati, 4;59.39;18.694;46.499;7.335;49.473;42.483;49.505;14.376;48.054;41.012;31.099;28.43;7.511;23.555;38.876;39.305;9.053;0.055;0.055;54.205;32.635;8.626;13.829;18.837;34.822;24.988;36.522;34.847;37.195;50.526;32.429;41.307;24.166;18.721;49.447;54.713;6.468;17.626;30.765;520.838;20.892;35.224;53.776;43.786;37.636;42.4;62.452;37.343;23.157;30.139;29.517;49.215;10.923;29.034;35.621;24.253;199.04;57.649;48.013;29.559;49.239;53.763;13.691;2.03;4.446;4.446;23.874;30.729
Dovera, Oldrini 2;9.884;42.396;10.307;61.675;24.28;13.529;17.839;43.887;19.144;95.352;25.955;26.204;52.198;77.895;15.56;15.166;44.752;53.978;53.978;0.061;26.55;61.534;66.014;41.137;89.162;77.896;22.089;19.438;91.535;5.73;23.264;22.398;77.074;42.423;7.635;5.643;58.653;70.534;83.673;548.725;36.244;54.792;139.437;19.106;17.72;96.74;13.382;25.765;33.443;84.479;83.597;17.732;45.302;83.374;30.28;34.01;191.927;8.598;9.6;29.837;7.171;15.939;66.599;54.369;58.786;58.786;76.782;85.069
Fiesco, Giuseppe Parini, 10;31.922;16.6;19.058;41.326;18.732;16.058;23.952;20.043;17.313;75.003;27.596;5.416;31.849;57.546;10.251;10.407;24.403;33.629;33.629;26.737;0.0;41.185;41.232;20.788;68.813;57.547;4.487;8.131;71.186;23.058;11.373;8.604;48.263;16.627;21.979;27.245;38.304;50.185;63.324;547.671;20.066;38.024;87.767;13.045;13.89;76.391;34.984;5.308;12.53;64.13;63.248;18.474;24.953;63.025;12.95;10.711;205.124;30.181;23.052;4.161;21.771;28.21;46.25;34.02;38.437;38.437;50.74;64.72
Gadesco-Pieve Delmona, Giovanni Lonati 9;66.555;25.859;53.664;10.562;56.638;49.648;56.67;20.945;55.219;40.611;52.144;35.595;14.08;23.154;46.041;46.47;16.218;8.101;8.101;61.37;39.8;0.431;7.924;26.002;33.65;17.653;43.687;42.012;36.794;57.691;39.594;48.472;16.831;25.886;56.612;61.878;3.125;10.291;23.43;521.054;29.629;35.44;53.375;50.951;44.801;40.816;69.617;44.508;30.322;29.738;29.116;56.38;18.088;28.633;42.19;31.418;199.256;64.814;55.178;36.724;56.404;60.928;6.356;9.609;7.673;7.673;16.539;29.145
Grontardo, Roma, 16;71.283;30.587;58.392;18.123;56.15;54.376;62.916;22.472;56.277;40.676;59.705;40.323;16.121;23.219;50.769;51.198;20.946;13.278;13.278;66.098;41.427;8.644;0.076;30.73;33.715;17.718;44.94;46.74;36.859;62.419;44.322;47.849;10.452;30.614;61.34;66.606;7.643;4.571;23.495;530.229;34.357;23.956;53.44;54.242;49.529;40.881;74.345;43.22;35.05;29.803;29.181;57.438;22.816;28.698;42.334;31.507;206.817;69.542;62.016;37.677;61.132;67.174;3.901;16.304;15.234;15.234;10.16;29.21
Grumello Cremonese ed Uniti, Roma, 2;46.791;5.821;33.9;25.447;36.874;29.884;36.906;13.556;35.455;59.124;20.893;15.831;15.97;41.667;26.277;26.658;8.524;17.75;17.75;41.606;20.036;25.306;29.786;0.294;52.934;41.668;23.923;22.248;55.307;37.927;19.83;28.708;40.846;5.848;36.848;42.114;22.425;34.306;47.445;530.822;8.442;51.904;71.888;31.187;25.037;60.512;49.853;24.744;10.558;48.251;47.369;36.616;5.117;47.146;24.909;11.38;198.421;45.05;35.414;16.96;36.64;41.164;30.371;18.141;22.558;22.558;40.554;48.841
Gussola, Comaschi, 1;94.592;53.896;81.701;29.89;84.675;77.685;84.707;48.982;83.256;7.636;81.074;63.632;42.117;13.579;74.078;74.507;44.255;34.527;34.527;89.407;67.837;33.764;33.81;54.039;0.253;25.268;71.724;70.049;3.142;85.728;67.631;76.509;35.169;53.923;84.649;89.915;38.146;30.698;17.094;479.826;57.666;63.74;20.4;78.988;72.838;14.04;97.654;72.545;58.359;9.654;7.713;84.417;46.125;9.017;70.227;59.455;228.186;92.851;83.215;64.761;84.441;88.965;31.334;33.648;31.163;31.163;34.877;10.368
Isola Dovarese, Giacomo Matteotti, 1;82.902;42.206;70.011;26.714;72.985;65.995;73.017;37.292;71.566;26.265;68.491;51.942;30.427;15.717;62.388;62.817;32.565;24.448;24.448;77.717;56.147;17.43;17.476;42.349;24.791;0.0;60.034;58.359;22.448;74.038;55.941;64.819;12.766;42.233;72.959;78.225;20.583;13.135;8.777;498.455;45.976;34.996;39.029;67.298;61.148;26.163;85.964;60.855;46.669;14.641;18.087;72.727;34.435;15.157;58.537;47.765;215.603;81.161;71.525;53.071;72.751;77.275;13.771;28.402;24.02;24.02;12.474;14.492
Izano, Gerardo da Izano, 4/C;27.426;20.186;14.562;44.622;14.493;11.562;19.713;23.629;13.074;78.299;29.816;9.276;35.145;60.842;5.755;5.911;27.699;36.925;36.925;22.241;4.46;44.481;44.818;24.084;72.109;60.843;0.133;3.635;74.482;18.562;13.593;3.545;51.849;20.213;17.483;22.749;41.6;53.481;66.62;549.891;23.926;37.627;91.13;8.806;9.394;79.687;30.488;4.911;16.39;67.426;66.804;14.235;28.249;66.321;12.553;14.297;209.014;25.685;18.813;7.747;17.275;23.971;49.546;37.316;41.733;41.733;54.326;68.016
Madignano, Portici, 4;24.836;23.582;11.972;42.861;14.919;8.972;14.951;25.073;13.5;76.538;27.172;7.39;33.384;59.081;4.322;4.703;25.938;35.164;35.164;19.651;8.211;42.72;47.2;22.323;70.348;59.082;3.75;0.0;72.721;15.972;10.949;6.753;58.26;23.609;14.893;20.159;39.839;51.72;64.859;547.247;21.174;41.378;89.369;9.232;6.804;77.926;27.898;8.662;14.629;65.665;65.043;14.661;26.488;64.56;16.304;15.196;206.424;23.095;13.459;11.498;14.685;19.209;47.785;35.555;39.972;39.972;57.968;66.255
Martignana di Po, Libertà, 64;97.194;56.498;84.303;32.492;87.277;80.287;87.309;51.584;85.858;5.642;83.676;66.234;44.719;14.702;76.68;77.109;46.857;37.129;37.129;92.009;70.439;37.141;37.187;56.641;2.86;23.343;74.326;72.651;0.24;88.33;70.233;79.111;33.244;56.525;87.251;92.517;40.294;32.846;15.169;477.832;60.268;67.117;18.406;81.59;75.44;12.046;100.256;75.147;60.961;8.346;9.833;87.019;48.727;8.862;72.829;62.057;230.788;95.453;85.817;67.363;87.043;91.567;33.482;35.768;33.765;33.765;32.952;8.443
Monte Cremasco, Roma, 12;11.114;38.662;3.882;57.941;22.061;9.795;15.62;40.153;16.925;91.618;29.163;22.47;48.464;74.161;11.826;11.432;41.018;50.244;50.244;5.078;22.816;57.8;62.28;37.403;85.428;74.162;18.355;15.704;87.801;0.0;19.53;18.664;73.183;38.689;3.89;6.437;54.919;66.8;79.939;561.181;34.926;54.747;104.449;16.887;13.986;93.006;14.176;22.031;29.709;80.745;80.123;15.513;41.568;79.64;29.673;30.276;192.721;9.392;7.381;26.103;1.379;13.36;62.865;50.635;55.052;55.052;73.048;81.335
Montodine,  XXV Aprile, 10;28.402;20.979;14.373;40.258;22.85;10.357;20.845;23.052;21.431;73.935;17.237;4.787;30.781;56.478;10.122;9.462;23.335;32.561;32.561;23.217;11.352;40.117;44.597;19.72;67.745;56.479;14.375;10.764;70.118;19.538;0.046;14.684;55.657;21.006;18.459;23.725;37.236;49.117;62.256;537.312;15.699;48.776;86.766;17.163;5.51;75.323;31.464;16.06;12.026;63.062;62.44;22.592;23.885;61.957;23.702;13.175;194.765;26.661;18.17;15.773;18.251;24.693;45.182;32.952;37.369;37.369;55.365;63.652
