;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
20;26.68;28.07;64.07;54.82;32.39;92.02;48.27;53.26;95.78;52.0;90.79;72.99;69.43;44.01;47.17;65.19;68.25;81.63;68.82;57.08;0.0;40.61;15.62;46.39;66.73;32.7;56.44;27.73;68.15;88.48;78.09;34.21;61.81;54.41;47.85
21;56.61;13.0;24.33;50.36;14.42;78.16;44.91;41.01;76.49;15.26;72.09;83.82;28.86;65.44;24.33;62.2;78.77;57.45;49.65;77.1;40.61;0.0;30.41;62.97;27.46;64.64;71.12;24.21;71.39;80.62;42.06;69.84;27.02;25.94;28.16
22;41.23;20.59;54.74;60.01;27.8;95.41;53.31;55.47;97.19;38.83;92.31;84.02;58.03;57.07;44.69;71.51;79.06;80.72;69.43;70.21;15.62;30.41;0.0;58.14;53.94;47.89;68.07;28.3;76.69;93.94;71.51;49.82;55.54;50.48;46.67
23;23.32;52.8;75.93;28.16;48.55;60.17;26.57;37.0;68.88;78.23;64.33;26.68;86.28;7.28;47.8;30.36;22.14;64.12;50.36;14.21;46.39;62.97;58.14;0.0;88.73;24.84;10.05;38.95;26.25;51.62;78.29;33.02;65.73;54.92;44.65
24;84.05;40.31;19.03;71.18;41.11;90.01;67.12;60.17;84.59;15.13;81.22;106.94;9.43;91.93;43.38;81.93;102.08;64.38;62.39;102.94;66.73;27.46;53.94;88.73;0.0;92.09;96.02;50.99;92.7;95.89;37.7;97.25;32.06;39.56;47.42
25;8.06;52.01;83.77;48.76;51.48;84.08;44.55;54.15;91.76;78.87;86.98;48.88;92.18;18.44;58.46;54.12;45.22;83.86;69.72;28.79;32.7;64.64;47.89;24.84;92.09;0.0;32.8;42.05;51.09;76.28;91.59;8.54;76.66;66.49;56.72
26;32.7;61.68;82.04;29.97;56.8;56.29;30.61;40.5;66.27;86.35;62.07;16.76;92.85;14.42;53.76;28.02;12.53;64.54;51.55;10.05;56.44;71.12;68.07;10.05;96.02;32.8;0.0;47.54;20.25;46.24;82.15;40.31;70.94;60.21;50.21
27;34.01;14.32;41.79;32.28;9.9;67.12;25.71;27.2;69.31;39.41;64.38;61.39;50.25;41.23;19.65;44.15;56.29;54.08;41.77;53.0;27.73;24.21;28.3;38.95;50.99;42.05;47.54;0.0;51.01;65.92;52.01;48.38;36.06;27.29;20.12
28;48.92;65.03;76.16;21.54;58.31;36.35;26.48;32.65;47.01;85.87;43.19;16.64;87.71;33.02;49.4;12.04;13.6;48.75;37.8;29.61;68.15;71.39;76.69;26.25;92.7;51.09;20.25;51.01;0.0;26.0;71.42;59.2;63.51;53.71;45.31
29;73.11;78.16;77.28;34.0;70.34;13.0;40.71;40.02;25.5;93.02;23.6;38.01;88.84;58.67;56.32;23.43;37.48;36.89;33.54;55.36;88.48;80.62;93.94;51.62;95.89;76.28;46.24;65.92;26.0;0.0;65.8;84.6;63.95;57.04;52.47
30;84.01;51.24;20.62;52.43;45.71;57.01;51.88;41.68;49.16;43.93;46.69;87.78;28.46;83.93;33.24;59.4;83.74;29.83;34.21;91.3;78.09;42.06;71.51;78.29;37.7;91.59;82.15;52.01;71.42;65.8;0.0;98.99;16.28;25.18;34.93
31;15.03;56.94;90.14;57.28;57.38;92.57;52.95;62.39;100.3;83.49;95.52;55.8;97.99;26.25;65.76;62.61;52.5;92.23;78.09;34.99;34.21;69.84;49.82;33.02;97.25;8.54;40.31;48.38;59.2;84.6;98.99;0.0;83.74;73.82;64.28
32;68.88;35.11;13.34;42.64;29.43;58.01;40.36;31.24;53.37;32.7;49.65;79.03;25.0;70.71;18.38;51.97;74.52;33.24;30.41;79.4;61.81;27.02;55.54;65.73;32.06;76.66;70.94;36.06;63.51;63.95;16.28;83.74;0.0;10.82;21.1
33;58.86;30.0;22.47;32.45;22.83;52.95;29.7;21.1;50.57;36.22;46.24;68.82;34.0;59.94;8.06;42.54;64.2;31.62;24.33;68.6;54.41;25.94;50.48;54.92;39.56;66.49;60.21;27.29;53.71;57.04;25.18;73.82;10.82;0.0;10.3
34;49.25;27.46;31.89;23.77;19.42;50.7;20.0;13.15;50.8;41.3;46.04;59.68;43.01;49.65;4.12;34.93;54.92;34.21;23.02;58.41;47.85;28.16;46.67;44.65;47.42;56.72;50.21;20.12;45.31;52.47;34.93;64.28;21.1;10.3;0.0
