;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Sergnano, IV Novembre,  10;17;4;5;14;2;4;0;1;0;9;0;19;1;3;79;12;5;3;0;2;5;7;2;1;6;1;51;7;54;0;0;6;21;13;1;20;12;11;58;0;13;12;1;13;4;0;5;0;0;0;8;28;23;12;9;9;0;3;0;18;1;2;0;17
Sesto ed Uniti, Roma, 4;0;1;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;3;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0
Solarolo Rainerio, Giuseppina, 81;6;1;1;8;0;2;1;1;0;7;0;7;0;5;34;2;2;3;0;4;3;3;0;0;5;2;26;2;26;0;0;3;6;8;0;12;7;4;26;0;4;3;0;6;2;0;8;0;6;0;0;14;8;8;6;11;0;0;1;3;2;0;0;8
Soncino, Dante Alighieri, 23;8;1;0;4;3;3;0;0;1;3;0;4;0;4;32;4;0;0;0;1;1;1;2;0;2;0;5;2;22;1;0;5;7;3;2;4;2;2;44;0;6;9;1;6;1;0;6;0;2;0;4;0;14;7;11;4;2;0;0;1;0;1;0;4
Soresina, Giacomo Matteotti, 6;7;7;1;2;1;0;0;6;0;1;0;3;0;2;32;0;3;2;1;1;2;4;0;1;2;0;4;5;21;0;0;4;5;3;0;7;3;3;37;0;4;4;0;4;1;0;0;0;3;0;3;5;0;2;1;4;0;0;0;3;0;0;0;3
Sospiro, Tosi;3;0;0;1;0;0;0;0;0;1;0;2;0;1;17;1;0;0;0;0;0;1;2;0;2;1;7;3;15;0;0;0;2;2;0;2;0;2;10;0;7;3;0;1;1;0;1;0;3;0;1;5;2;0;3;1;0;0;0;0;0;0;0;0
Spino d'Adda, Circonvallazione, 13;7;2;4;5;2;1;0;2;0;5;0;10;1;2;48;4;6;2;1;2;1;5;0;0;4;0;34;8;44;0;0;6;11;7;4;15;9;1;43;0;12;9;0;13;0;0;9;0;4;0;1;23;22;17;0;5;3;0;0;9;0;1;0;14
Trescore Cremasco, Vittorio Veneto, 1;0;1;2;3;1;1;1;0;0;0;0;2;0;1;20;1;1;0;0;0;0;3;0;0;3;0;2;0;13;0;0;3;0;0;0;3;4;1;28;0;2;3;0;6;0;0;0;0;4;0;1;4;3;3;1;0;0;0;0;1;1;0;0;4
Trigolo, Roma, 26;1;0;0;1;0;0;0;1;0;1;0;0;0;0;5;2;0;1;1;1;0;0;1;1;0;0;5;3;4;0;0;1;2;1;0;0;1;0;5;0;0;5;0;1;0;0;0;0;0;0;0;4;5;1;0;0;0;0;0;1;0;0;0;0
Vaiano Cremasco,  Gloriosi Caduti, 3;2;0;0;2;0;0;0;0;0;0;0;1;0;1;11;1;1;0;0;0;0;0;0;0;1;0;4;2;5;0;0;0;1;0;0;0;2;1;17;0;3;1;0;2;0;0;1;0;0;0;1;5;3;0;1;0;0;0;0;0;0;0;0;4
Vailate, Dante Alighieri, 7;3;0;0;0;0;0;0;0;0;0;0;2;0;2;11;0;0;1;0;0;1;1;1;0;0;1;3;1;9;0;0;1;2;2;0;3;1;0;22;0;3;4;0;1;0;0;1;0;0;0;0;3;3;3;2;2;1;0;0;2;0;0;0;3
Vescovato, Roma, 44;5;0;4;3;2;4;0;2;0;9;0;6;0;2;23;2;3;0;0;1;1;8;2;0;3;0;12;1;15;0;0;6;11;6;7;5;4;4;32;0;10;5;1;4;2;0;2;0;3;0;2;16;6;4;5;2;0;0;0;0;1;0;0;14
Cremona, Felice Cavallotti, 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cremona, Palosca n. 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Casaletto Vaprio, Maggiore, 7;1;1;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;2;0;0;2;0;4;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0
Cremona, Sesto 39;0;0;1;2;0;1;0;0;0;1;0;0;0;2;9;0;0;1;0;0;0;1;0;0;0;0;1;0;5;0;0;0;1;1;0;2;0;0;26;0;1;1;0;1;1;0;3;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0
