;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Paderno Ponchielli, Municipio, 3;0;0;0;0;0;0;1;0;0;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;3;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1
Palazzo Pignano, Marco Polo, 31;3;2;5;1;0;1;3;0;0;4;0;7;0;0;50;2;0;0;0;2;0;1;3;2;16;0;14;5;24;0;0;0;20;6;4;1;2;5;15;0;2;9;0;1;0;0;4;0;3;0;2;14;6;3;1;6;3;2;0;2;1;0;1;3
Pandino, Castello, 15;2;0;5;0;1;1;8;0;0;0;0;6;0;5;103;2;1;2;0;0;2;0;2;1;13;0;14;9;28;0;1;1;0;7;4;6;3;5;48;0;2;2;1;5;0;0;7;0;3;2;1;7;9;9;4;6;1;2;0;2;0;0;0;3
Persico Dosimo, Albert ,7;1;0;4;3;0;0;3;1;0;0;0;0;0;2;29;0;1;0;1;0;0;2;3;1;3;0;0;3;12;0;0;0;7;0;1;2;7;0;21;0;1;2;1;5;1;0;8;0;1;0;4;7;1;2;0;1;1;3;0;1;0;0;0;3
Pescarolo ed Uniti, Giuseppe Mazzini, 73;2;1;4;2;0;0;4;5;0;6;0;10;1;2;80;1;3;3;3;1;1;0;7;0;14;0;10;14;39;0;0;0;19;3;0;7;3;4;35;0;3;3;0;6;3;0;3;0;5;0;2;11;18;4;4;5;2;1;0;3;1;1;0;7
Piadena, Platina, 40;4;0;7;2;0;1;12;1;1;11;0;10;1;4;149;4;3;1;0;1;0;2;10;4;11;0;10;10;44;0;0;3;29;11;10;0;10;3;90;0;5;5;0;5;0;0;18;0;5;2;3;24;21;7;5;2;4;3;0;3;0;1;0;11
Pianengo, Nenni;3;0;2;0;0;0;1;0;1;0;0;4;1;1;45;3;5;0;0;0;1;0;1;3;14;0;11;4;11;0;1;0;13;8;4;4;0;0;26;0;1;7;0;3;2;0;3;0;2;0;2;9;3;3;0;6;1;1;0;3;0;0;0;3
Pizzighettone, Giuseppe Garibaldi, 18;2;0;5;2;1;0;10;2;0;4;0;9;0;1;112;0;1;0;0;3;1;0;4;1;16;0;13;5;28;0;0;1;17;4;13;12;5;0;63;0;6;8;2;12;5;0;4;0;4;1;2;14;11;7;1;3;3;3;0;5;0;0;0;7
Manerbio, INSURREZIONE NAZIONALE;137;2;122;61;15;58;150;35;8;158;0;185;16;64;4237;128;103;21;30;23;12;30;147;23;418;4;160;131;771;2;3;43;337;229;160;158;151;62;0;0;176;191;9;226;49;0;140;0;142;25;115;471;400;187;132;131;33;58;11;82;20;8;0;214
Viadana, A. Manzoni, 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ricengo, Guglielmo Marconi;1;0;3;0;0;1;0;0;0;1;0;2;0;0;38;1;1;0;0;0;0;2;0;0;7;0;1;3;8;0;1;0;8;2;8;3;3;0;26;0;0;6;0;3;0;0;2;0;0;0;0;10;3;2;3;3;1;5;0;1;0;0;1;1
Ripalta Cremasca, Roma, 5;1;0;3;0;0;0;1;0;1;0;0;2;0;1;23;1;1;0;0;0;0;0;1;0;3;0;0;0;2;0;0;2;2;3;1;1;2;0;23;0;0;0;2;1;0;0;2;0;1;0;2;3;0;1;2;0;1;1;0;0;0;0;0;1
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rivolta d'Adda, Stefano Renzi, 5;17;0;23;14;1;8;12;7;2;23;0;33;1;10;474;13;15;13;4;3;2;1;24;4;64;0;27;20;78;3;0;1;48;24;16;30;20;7;313;0;12;19;0;0;8;0;11;0;13;1;5;97;66;34;20;20;6;12;0;12;5;2;0;30
Romanengo, Guaiarini, 14;1;0;1;1;0;1;4;0;0;3;0;0;0;2;49;2;3;1;1;0;0;0;2;2;10;0;4;4;8;0;0;0;9;4;3;5;4;1;32;0;2;3;0;4;0;0;3;0;6;0;2;8;2;2;5;2;1;1;0;1;0;1;0;2
San Bassano, Mons. Frosi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
San Giovanni in Croce, Feudatari, 25 A;0;0;4;0;0;0;7;0;1;4;0;11;0;3;94;5;5;1;3;2;1;1;5;0;15;0;13;7;44;0;0;0;13;7;5;6;5;3;43;0;4;3;0;4;1;0;0;0;3;0;1;15;5;5;5;7;0;1;0;4;0;0;0;5
Scandolara Ravara, Italia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sergnano, IV Novembre,  10;5;0;12;8;0;1;14;2;0;16;0;10;1;4;202;8;10;1;4;4;0;1;11;1;37;0;35;20;64;1;0;1;48;21;23;14;15;9;66;0;11;16;4;13;5;0;10;0;0;0;8;22;36;12;11;11;3;6;0;8;1;0;1;9
Sesto ed Uniti, Roma, 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;1;0;0;1;4;0;1;1;0;0;0;0;0;0;0;0
Solarolo Rainerio, Giuseppina, 81;4;0;3;1;1;3;9;1;0;6;0;11;0;6;119;2;1;0;1;0;0;2;5;0;16;0;10;6;30;0;0;1;22;5;4;2;3;5;32;0;10;8;6;3;2;0;7;0;4;1;0;25;7;7;7;3;1;0;0;6;0;0;1;7
Soncino, Dante Alighieri, 23;5;0;3;4;0;3;1;0;0;3;0;6;0;2;77;0;4;0;1;1;0;1;5;0;14;0;11;4;16;0;0;0;19;4;6;3;4;1;45;0;1;8;0;8;3;0;6;0;6;0;1;0;14;8;4;2;5;1;0;0;2;0;0;6
Soresina, Giacomo Matteotti, 6;4;0;3;1;0;1;4;9;0;1;0;4;1;1;68;2;1;0;2;1;0;1;0;1;10;0;8;3;17;1;2;1;8;2;3;3;8;1;87;0;2;4;0;5;3;0;4;0;8;0;2;11;0;3;3;3;3;1;0;1;1;0;0;6
Sospiro, Tosi;0;0;3;1;0;0;3;0;0;1;0;3;0;0;36;0;0;0;0;1;0;0;1;0;5;0;0;3;2;0;0;0;1;2;1;2;4;1;15;0;2;2;0;1;1;0;2;0;2;0;1;2;1;0;0;2;1;0;1;0;0;0;0;1
Spino d'Adda, Circonvallazione, 13;3;1;8;1;1;1;4;5;1;7;0;8;0;2;100;8;3;0;1;3;0;1;6;1;24;0;33;10;33;1;0;0;21;9;6;5;7;3;59;0;11;11;1;10;3;0;7;0;7;0;4;26;18;7;0;8;3;5;0;2;1;0;0;4
Trescore Cremasco, Vittorio Veneto, 1;4;0;1;2;0;1;7;1;0;4;0;5;0;0;50;7;0;0;1;0;0;0;4;4;8;0;3;4;10;0;0;1;13;5;2;1;2;2;34;0;0;3;0;3;1;0;3;0;3;0;1;0;4;5;1;0;2;2;0;2;1;0;0;5
Trigolo, Roma, 26;0;0;0;2;0;0;3;0;0;0;0;1;0;0;29;0;0;0;0;0;0;0;1;2;4;0;3;1;3;0;1;0;4;0;4;3;2;0;6;0;1;2;1;1;0;0;0;0;2;0;0;3;3;1;0;1;0;1;0;0;0;0;0;0
Vaiano Cremasco,  Gloriosi Caduti, 3;0;0;0;0;0;1;3;0;0;0;0;1;0;0;25;2;0;0;0;0;0;0;2;0;4;0;7;5;10;0;0;1;11;1;1;2;2;0;21;0;0;4;0;0;1;0;2;0;1;0;0;5;2;1;0;1;2;0;0;2;0;0;0;3
Vailate, Dante Alighieri, 7;0;0;2;0;0;0;4;0;0;1;0;5;1;1;43;0;4;0;1;0;0;0;1;1;4;0;1;0;12;0;0;0;2;5;0;1;4;1;27;0;2;4;0;2;1;0;1;0;2;1;0;5;5;3;0;2;0;1;0;0;0;0;0;4
Vescovato, Roma, 44;2;0;1;5;1;0;2;1;0;6;0;11;1;1;61;4;3;1;0;0;0;0;4;0;16;0;6;4;18;0;0;0;15;8;2;4;5;1;55;0;5;7;0;7;3;0;4;0;2;1;2;11;7;5;5;1;1;0;1;0;0;0;0;5
Cremona, Felice Cavallotti, 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
Cremona, Palosca n. 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Casaletto Vaprio, Maggiore, 7;2;0;3;0;1;0;2;0;0;0;0;3;0;0;13;1;1;1;0;0;0;0;1;2;1;0;1;1;1;0;0;0;1;0;0;2;1;0;5;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;1
Cremona, Sesto 39;1;0;0;2;0;1;0;0;0;1;0;1;0;1;20;1;0;1;0;0;0;0;2;1;1;0;2;0;6;0;0;0;1;1;0;2;0;0;30;0;0;1;0;2;0;0;1;0;0;0;2;4;2;2;0;0;0;0;0;0;0;0;0;0
